alpha,k,0,1,2,3,4,5,6,7,8,9
1.0,1.0,0.5892018779342723,0.7936842105263158,0.11485642946317104,0.1349206349206349,0.13686806411837238,0.107095046854083,0.13477737665463296,0.17986425339366516,0.11346633416458853,0.13214285714285715
1.0,51.0,0.7969483568075117,0.9073684210526316,0.14606741573033707,0.1655328798185941,0.09247842170160296,0.07228915662650602,0.14199759326113118,0.27941176470588236,0.09725685785536159,0.09404761904761905
1.0,101.0,0.8039906103286385,0.9031578947368422,0.12609238451935081,0.21201814058956917,0.07891491985203453,0.05756358768406961,0.13477737665463296,0.36877828054298645,0.128428927680798,0.10238095238095238
1.0,151.0,0.8157276995305164,0.8894736842105263,0.1136079900124844,0.19160997732426305,0.07891491985203453,0.06157965194109773,0.15042117930204574,0.3925339366515837,0.12094763092269327,0.07857142857142857
1.0,201.0,0.8215962441314554,0.8863157894736842,0.10237203495630462,0.2256235827664399,0.059186189889025895,0.04685408299866131,0.15042117930204574,0.42194570135746606,0.13092269326683292,0.075
1.0,251.0,0.818075117370892,0.8873684210526316,0.09363295880149813,0.22675736961451248,0.051787916152897656,0.049531459170013385,0.1444043321299639,0.4343891402714932,0.13591022443890274,0.060714285714285714
1.0,301.0,0.8192488262910798,0.8873684210526316,0.09612983770287141,0.23129251700680273,0.04438964241676942,0.0428380187416332,0.15643802647412755,0.45248868778280543,0.13840399002493767,0.05714285714285714
1.0,351.0,0.8262910798122066,0.8936842105263157,0.08863920099875156,0.2675736961451247,0.0345252774352651,0.03480589022757698,0.15643802647412755,0.4671945701357466,0.14588528678304238,0.04523809523809524
1.0,401.0,0.823943661971831,0.891578947368421,0.08739076154806492,0.2834467120181406,0.03329223181257707,0.030789825970548863,0.148014440433213,0.47850678733031676,0.14089775561097256,0.05
1.0,451.0,0.8251173708920188,0.8905263157894737,0.066167290886392,0.30158730158730157,0.032059186189889025,0.024096385542168676,0.16606498194945848,0.48755656108597284,0.13466334164588528,0.05238095238095238
1.0,501.0,0.8274647887323944,0.888421052631579,0.06741573033707865,0.31519274376417233,0.02342786683107275,0.024096385542168676,0.17448856799037304,0.49660633484162897,0.1371571072319202,0.03214285714285714
1.0,551.0,0.8286384976525821,0.8905263157894737,0.05118601747815231,0.3163265306122449,0.01972872996300863,0.022757697456492636,0.17809867629362214,0.5090497737556561,0.1433915211970075,0.030952380952380953
1.0,601.0,0.8262910798122066,0.9010526315789473,0.05118601747815231,0.3344671201814059,0.009864364981504316,0.013386880856760375,0.17689530685920576,0.4920814479638009,0.14588528678304238,0.02261904761904762
1.0,651.0,0.8286384976525821,0.9021052631578947,0.0599250936329588,0.3276643990929705,0.013563501849568433,0.012048192771084338,0.1793020457280385,0.504524886877828,0.15835411471321695,0.014285714285714285
1.0,701.0,0.8274647887323944,0.9010526315789473,0.052434456928838954,0.3356009070294785,0.012330456226880395,0.0107095046854083,0.18772563176895307,0.501131221719457,0.16084788029925187,0.015476190476190477
