alpha,k,0,1,2,3,4,5,6,7,8,9
1.0,1.0,0.5892018779342723,0.7936842105263158,0.11485642946317104,0.1349206349206349,0.13686806411837238,0.107095046854083,0.13477737665463296,0.17986425339366516,0.11346633416458853,0.13214285714285715
1.0,1001.0,0.8262910798122066,0.9010526315789473,0.0599250936329588,0.3287981859410431,0.0012330456226880395,0.00535475234270415,0.20216606498194944,0.5271493212669683,0.15336658354114713,0.01904761904761905
1.0,2001.0,0.8204225352112676,0.911578947368421,0.0149812734082397,0.3469387755102041,0.0,0.0,0.2286401925391095,0.5407239819004525,0.185785536159601,0.013095238095238096
1.0,3001.0,0.8204225352112676,0.9263157894736842,0.0,0.336734693877551,0.0,0.0,0.2226233453670277,0.5226244343891403,0.21571072319201995,0.0
1.0,4001.0,0.8145539906103286,0.9326315789473684,0.0,0.3356009070294785,0.0,0.0,0.22743682310469315,0.5350678733031674,0.20448877805486285,0.0
1.0,5001.0,0.8157276995305164,0.9389473684210526,0.0,0.3299319727891156,0.0,0.0,0.2286401925391095,0.5226244343891403,0.20324189526184538,0.0
1.0,6001.0,0.8204225352112676,0.9442105263157895,0.0,0.34807256235827666,0.0,0.0,0.21299638989169675,0.5158371040723982,0.1882793017456359,0.0
1.0,7001.0,0.8204225352112676,0.9473684210526315,0.0,0.34807256235827666,0.0,0.0,0.20577617328519857,0.49547511312217196,0.2057356608478803,0.0
1.0,8001.0,0.8204225352112676,0.9505263157894737,0.0,0.36621315192743764,0.0,0.0,0.21179302045728038,0.48642533936651583,0.17206982543640897,0.0
1.0,9001.0,0.8204225352112676,0.9526315789473684,0.0,0.37528344671201813,0.0,0.0,0.20938628158844766,0.4841628959276018,0.16832917705735662,0.0
1.0,10001.0,0.8169014084507042,0.9568421052631579,0.0,0.37188208616780044,0.0,0.0,0.21540312876052947,0.4751131221719457,0.1633416458852868,0.0
1.0,11001.0,0.8145539906103286,0.96,0.0,0.3877551020408163,0.0,0.0,0.21419975932611313,0.4660633484162896,0.1596009975062344,0.0
