alpha,k,0,1,2,3,4,5,6,7,8,9
1.0,1.0,0.5634118967452301,0.7805383022774327,0.11192214111922141,0.1329608938547486,0.13997477931904162,0.10810810810810811,0.13947696139476962,0.17825112107623317,0.11621966794380588,0.1361963190184049
1.0,1001.0,0.5504300234558248,0.7725631768953068,0.1643835616438356,0.17365269461077845,0.0625,0.12121212121212122,0.1990521327014218,0.21464762782128052,0.13820224719101123,0.16494845360824742
1.0,2001.0,0.5600961538461539,0.764342453662842,0.24,0.17515741270749857,0.0,0.0,0.20607375271149675,0.21668177697189483,0.14466019417475728,0.171875
1.0,3001.0,0.5609951845906902,0.7413647851727043,0.0,0.1752212389380531,0.0,0.0,0.19514767932489452,0.21588785046728973,0.14611486486486486,0.0
1.0,4001.0,0.5628548256285483,0.7274220032840722,0.0,0.17692767483562463,0.0,0.0,0.19936708860759494,0.21354401805869075,0.14734950584007186,0.0
1.0,5001.0,0.5632090761750406,0.7096260938743039,0.0,0.17446043165467626,0.0,0.0,0.19730010384215993,0.21388888888888888,0.14579606440071557,0.0
1.0,6001.0,0.5596477181745396,0.6921296296296297,0.0,0.17122141662018964,0.0,0.0,0.193020719738277,0.21703950499762018,0.1446360153256705,0.0
1.0,7001.0,0.5552025416997617,0.6756756756756757,0.0,0.17374080362195812,0.0,0.0,0.19148936170212766,0.21597633136094674,0.1471900089206066,0.0
1.0,8001.0,0.5592,0.6591240875912409,0.0,0.16928721174004194,0.0,0.0,0.19447513812154696,0.21414342629482072,0.14389989572471323,0.0
1.0,9001.0,0.5614457831325301,0.6432125088841507,0.0,0.16939611054247697,0.0,0.0,0.20209059233449478,0.21251241310824232,0.14689880304678998,0.0
1.0,10001.0,0.5631067961165048,0.625171939477304,0.0,0.16846430405752438,0.0,0.0,0.20248868778280543,0.2112676056338028,0.14702581369248036,0.0
1.0,11001.0,0.564686737184703,0.6116700201207244,0.0,0.16872224962999507,0.0,0.0,0.20745920745920746,0.21041879468845762,0.15292712066905614,0.0
1.0,12001.0,0.5651465798045603,0.5972584856396866,0.0,0.16855036855036856,0.0,0.0,0.20685714285714285,0.20485584218512898,0.14873837981407703,0.0
1.0,13001.0,0.566530612244898,0.5783511642542479,0.0,0.16762728146013448,0.0,0.0,0.21046077210460773,0.20378904249871993,0.1483957219251337,0.0
1.0,14001.0,0.5683865683865684,0.5629945222154595,0.0,0.16777566539923955,0.0,0.0,0.21046228710462286,0.1970317297850563,0.14329268292682926,0.0
1.0,15001.0,0.566530612244898,0.5447630193095377,0.0,0.17039106145251395,0.0,0.0,0.2088998763906057,0.18917576961271101,0.14747474747474748,0.0
1.0,16001.0,0.5669934640522876,0.5253950338600452,0.0,0.16822429906542055,0.0,0.0,0.20373027259684362,0.18871692461308037,0.1487964989059081,0.0
