alpha,k,0,1,2,3,4,5,6,7,8,9
1.0,1.0,0.5634118967452301,0.7805383022774327,0.11192214111922141,0.1329608938547486,0.13997477931904162,0.10810810810810811,0.13947696139476962,0.17825112107623317,0.11621966794380588,0.1361963190184049
1.0,51.0,0.5547385620915033,0.7418244406196214,0.1351039260969977,0.14614614614614616,0.11029411764705882,0.12162162162162163,0.1761194029850746,0.20146818923327894,0.12892561983471074,0.15076335877862596
1.0,101.0,0.5537590945836701,0.7519719544259421,0.14086471408647142,0.17575187969924813,0.11091854419410745,0.12215909090909091,0.16398243045387995,0.2300635144671842,0.15944272445820434,0.1519434628975265
1.0,151.0,0.5568910256410257,0.7802400738688827,0.13957055214723926,0.14837576821773485,0.11721611721611722,0.1503267973856209,0.1768033946251768,0.21823899371069183,0.1416058394160584,0.14864864864864866
1.0,201.0,0.5604483586869495,0.7891283973758201,0.1353135313531353,0.16392092257001648,0.10367170626349892,0.1383399209486166,0.17123287671232876,0.22175980975029727,0.15217391304347827,0.1412556053811659
1.0,251.0,0.5544948289578361,0.7820037105751392,0.13368983957219252,0.1638001638001638,0.11570247933884298,0.1289198606271777,0.16666666666666666,0.21707179197286602,0.14137483787289234,0.13672922252010725
1.0,301.0,0.5470219435736677,0.7856477166821995,0.13774597495527727,0.1608832807570978,0.13284132841328414,0.11895910780669144,0.18413597733711048,0.21390374331550802,0.1373762376237624,0.16
1.0,351.0,0.5461598138091543,0.783210332103321,0.1392156862745098,0.1731474688187821,0.12389380530973451,0.12264150943396226,0.1903367496339678,0.21233933161953727,0.14130434782608695,0.14615384615384616
1.0,401.0,0.5425038639876353,0.7792088316467342,0.14314928425357873,0.17458100558659218,0.140625,0.12994350282485875,0.18693009118541035,0.2149390243902439,0.13763702801461633,0.14893617021276595
1.0,451.0,0.5462315462315462,0.7833333333333333,0.12589073634204276,0.175,0.1566265060240964,0.10975609756097561,0.19246861924686193,0.21822784810126583,0.12965186074429771,0.18565400843881857
1.0,501.0,0.5427251732101617,0.7836583101207056,0.1377551020408163,0.17774936061381075,0.10674157303370786,0.13333333333333333,0.19890260631001372,0.2165762210162802,0.13681592039800994,0.13846153846153847
1.0,551.0,0.5385202135774219,0.7797235023041474,0.12424242424242424,0.1756926952141058,0.1322314049586777,0.13709677419354838,0.19245773732119636,0.21951219512195122,0.13872135102533173,0.13471502590673576
1.0,601.0,0.5440494590417311,0.7732610659439928,0.125,0.17507418397626112,0.11428571428571428,0.12345679012345678,0.19041450777202074,0.21271393643031786,0.1351039260969977,0.125
1.0,651.0,0.5414110429447853,0.7734657039711191,0.147239263803681,0.17665036674816625,0.1527777777777778,0.13636363636363635,0.185785536159601,0.21639980591945657,0.13864628820960698,0.11009174311926606
1.0,701.0,0.5444015444015444,0.7725631768953068,0.134185303514377,0.1759809750297265,0.1282051282051282,0.17777777777777778,0.19235511713933415,0.21673189823874756,0.14129244249726178,0.11711711711711711
1.0,751.0,0.5427251732101617,0.776566757493188,0.13851351351351351,0.1735632183908046,0.2033898305084746,0.22727272727272727,0.19083023543990088,0.2152444870565676,0.14015572858731926,0.10989010989010989
1.0,801.0,0.5465116279069767,0.7784867821330902,0.14130434782608695,0.17401003904071388,0.19047619047619047,0.1111111111111111,0.1941747572815534,0.21475875118259224,0.14705882352941177,0.13793103448275862
1.0,851.0,0.5465116279069767,0.7774750227066304,0.13503649635036497,0.17291550083939564,0.09523809523809523,0.11764705882352941,0.1895910780669145,0.21244239631336406,0.1392857142857143,0.10752688172043011
1.0,901.0,0.5482115085536547,0.7721973094170403,0.16363636363636364,0.17323290845886444,0.10344827586206896,0.1,0.19880239520958085,0.21346242508068233,0.14218009478672985,0.14285714285714285
1.0,951.0,0.5491419656786272,0.7724820143884892,0.14930555555555555,0.1694021101992966,0.06666666666666667,0.11428571428571428,0.19691577698695137,0.2158040665434381,0.14285714285714285,0.13924050632911392
5.0,1.0,0.8837209302325582,0.9304257528556594,0.6347150259067358,0.649643705463183,0.5656441717791411,0.6443514644351465,0.6361529548088065,0.7158469945355191,0.5966785290628707,0.5333333333333333
5.0,51.0,0.8978433598183881,0.9130434782608695,0.7564102564102564,0.7827814569536424,0.6289237668161435,0.7569546120058566,0.7010869565217391,0.8014268727705113,0.6520376175548589,0.6287978863936592
5.0,101.0,0.8914027149321267,0.9041095890410958,0.7543352601156069,0.7675962815405046,0.620380739081747,0.7537537537537538,0.6951871657754011,0.8,0.644120707596254,0.6220159151193634
5.0,151.0,0.8922902494331065,0.8969873663751214,0.7651403249630724,0.7690253671562083,0.6111111111111112,0.7560975609756098,0.6839872746553552,0.7914691943127962,0.6386036960985626,0.625
5.0,201.0,0.8935926773455377,0.8866474543707973,0.7533834586466165,0.7685185185185185,0.6075268817204301,0.7450682852807283,0.6771819137749737,0.7926972909305064,0.6390041493775933,0.6286919831223629
5.0,251.0,0.8954022988505748,0.8816793893129771,0.7613981762917933,0.7604166666666666,0.6045258620689655,0.7519142419601837,0.6750261233019854,0.7881257275902211,0.6377870563674322,0.6248216833095578
5.0,301.0,0.8956422018348624,0.8677298311444653,0.766412213740458,0.7558441558441559,0.6034858387799564,0.7527216174183515,0.678609062170706,0.7837209302325582,0.6282450674974039,0.6278409090909091
5.0,351.0,0.9001161440185831,0.8634237605238541,0.7565485362095532,0.7519280205655527,0.6074561403508771,0.7457098283931357,0.6683991683991684,0.7776497695852534,0.6322444678609063,0.6216596343178622
5.0,401.0,0.8958333333333334,0.8603351955307262,0.7554179566563467,0.7372448979591837,0.6044198895027625,0.7440381558028617,0.6635610766045549,0.7763761467889908,0.6321353065539113,0.6162464985994398
5.0,451.0,0.8977932636469221,0.850828729281768,0.750392464678179,0.7305764411027569,0.6026490066225165,0.7426229508196721,0.659114315139032,0.7710706150341685,0.63107822410148,0.6124469589816125
5.0,501.0,0.8977932636469221,0.847846012832264,0.746875,0.720098643649815,0.6031215161649944,0.7432432432432432,0.6580844490216272,0.768969422423556,0.6263269639065817,0.6137640449438202
5.0,551.0,0.8974358974358975,0.843351548269581,0.7488076311605724,0.7153374233128834,0.6019955654101996,0.739424703891709,0.6554192229038854,0.7661016949152543,0.6264674493062967,0.6152758132956153
5.0,601.0,0.8987194412107101,0.8395285584768812,0.7467948717948718,0.715158924205379,0.6013363028953229,0.7427101200686106,0.6507128309572301,0.761744966442953,0.625531914893617,0.6108726752503576
5.0,651.0,0.8963911525029103,0.8373983739837398,0.7436305732484076,0.7096385542168675,0.5982142857142857,0.7460869565217392,0.6536485097636177,0.7591973244147158,0.6245989304812835,0.6014285714285714
5.0,701.0,0.8974358974358975,0.8327338129496403,0.7394822006472492,0.7020262216924911,0.5975336322869955,0.7455830388692579,0.6466395112016293,0.7561247216035635,0.625,0.6037195994277539
5.0,751.0,0.9007009345794392,0.8282647584973166,0.7335473515248796,0.6971496437054632,0.5984162895927602,0.7460035523978685,0.6459816887080366,0.748898678414097,0.6258064516129033,0.6017316017316018
5.0,801.0,0.8981264637002342,0.8187444739168878,0.7389885807504079,0.6923076923076923,0.5990990990990991,0.7495462794918331,0.6480162767039674,0.7431693989071039,0.6207264957264957,0.6008771929824561
5.0,851.0,0.8990610328638498,0.8147497805092186,0.7429519071310116,0.6890459363957597,0.5997745208568207,0.7409420289855072,0.6445115810674723,0.7428884026258206,0.6178686759956943,0.5997067448680352
5.0,901.0,0.8969555035128806,0.8104803493449781,0.7429519071310116,0.6901408450704225,0.5963923337091319,0.7427007299270073,0.6437246963562753,0.7398907103825136,0.6194594594594595,0.595900439238653
5.0,951.0,0.897196261682243,0.8069565217391305,0.7445378151260504,0.6844547563805105,0.5986394557823129,0.75,0.641925777331996,0.7396061269146609,0.6206521739130435,0.597953216374269
9.0,1.0,0.936562860438293,0.9719042663891779,0.9467532467532468,0.8764988009592326,0.8229426433915212,0.8995873452544704,0.9303135888501742,0.9268841394825647,0.8221153846153846,0.7479579929988331
9.0,51.0,0.9333333333333333,0.9425981873111783,0.9424836601307189,0.9331619537275064,0.8529411764705882,0.8955823293172691,0.9143835616438356,0.9522184300341296,0.8453237410071942,0.7990708478513356
9.0,101.0,0.9357798165137615,0.9286422200198216,0.9390728476821192,0.922879177377892,0.8433889602053916,0.8717277486910995,0.903954802259887,0.9527104959630911,0.8400488400488401,0.7786697247706422
9.0,151.0,0.9364161849710982,0.9196078431372549,0.9436241610738255,0.9148387096774193,0.8333333333333334,0.8738379814077025,0.8949720670391061,0.9534342258440046,0.8297101449275363,0.7625
9.0,201.0,0.9346557759626605,0.9080348499515973,0.9442176870748299,0.9075520833333334,0.8223938223938224,0.857707509881423,0.89,0.9556592765460911,0.8210399032648126,0.7485907553551296
9.0,251.0,0.9342723004694836,0.9028846153846154,0.9458333333333333,0.8903225806451613,0.8060836501901141,0.851261620185923,0.8839779005524862,0.954225352112676,0.8116646415552855,0.734006734006734
9.0,301.0,0.931924882629108,0.8985645933014355,0.9454545454545454,0.88745148771022,0.8015170670037927,0.8447121820615796,0.8810572687224669,0.9497076023391813,0.8050541516245487,0.7327293318233296
9.0,351.0,0.9305882352941176,0.8942857142857142,0.9467040673211781,0.8793324775353016,0.8005082592121983,0.8387096774193549,0.8810572687224669,0.9504716981132075,0.7990373044524669,0.7269662921348314
9.0,401.0,0.9289099526066351,0.8900473933649289,0.9460992907801419,0.8737244897959183,0.7956852791878173,0.8335588633288228,0.8771929824561403,0.9481132075471698,0.7925659472422062,0.7239057239057239
9.0,451.0,0.9286563614744352,0.8850141376060321,0.9428571428571428,0.8721227621483376,0.7880710659898477,0.8299319727891157,0.8730853391684902,0.9458186101295641,0.7892215568862275,0.7162011173184357
9.0,501.0,0.9284862932061978,0.8810861423220974,0.9435600578871202,0.8659003831417624,0.7828282828282829,0.8244897959183674,0.8694232861806311,0.9435957696827262,0.7821901323706378,0.7104377104377104
9.0,551.0,0.929510155316607,0.8745353159851301,0.9420289855072463,0.8668373879641486,0.7832699619771863,0.8217687074829932,0.8672470076169749,0.9422850412249706,0.7781774580335732,0.7101123595505618
9.0,601.0,0.927120669056153,0.8672811059907835,0.9388646288209607,0.8625954198473282,0.7779187817258884,0.8171896316507503,0.8679039301310044,0.9419431279620853,0.7777777777777778,0.6997767857142857
9.0,651.0,0.925748502994012,0.8601462522851919,0.9401459854014599,0.8558786346396966,0.7720403022670025,0.8160442600276625,0.8665207877461707,0.942080378250591,0.7738814993954051,0.6980920314253648
9.0,701.0,0.9253910950661853,0.8546775658492279,0.9411764705882353,0.8533501896333755,0.7657430730478589,0.8118948824343015,0.8633879781420765,0.943127962085308,0.7705314009661836,0.6898096304591266
9.0,751.0,0.9262394195888755,0.848512173128945,0.9396170839469808,0.8474148802017655,0.7653701380175659,0.8074792243767313,0.8630887185104053,0.9418742586002372,0.7696969696969697,0.6905829596412556
9.0,801.0,0.9262394195888755,0.8431899641577061,0.9393491124260355,0.8414481897627965,0.7621419676214197,0.8067226890756303,0.8630887185104053,0.9427890345649583,0.7669902912621359,0.6910935738444194
9.0,851.0,0.9261501210653753,0.83942908117752,0.9391691394658753,0.8329207920792079,0.7555831265508685,0.8036723163841808,0.8599562363238512,0.93935790725327,0.7649208282582217,0.6855845629965948
9.0,901.0,0.9249394673123487,0.8312720848056537,0.938622754491018,0.8292079207920792,0.7530864197530864,0.8045649072753209,0.8580786026200873,0.9392133492252682,0.7631257631257631,0.6855845629965948
9.0,951.0,0.9247572815533981,0.8261633011413521,0.9370314842578711,0.8228782287822878,0.7417380660954712,0.8008595988538681,0.8576122672508215,0.9369797859690844,0.7653562653562653,0.6784897025171625
13.0,1.0,0.9708963911525029,0.975991649269311,0.95875,0.9299065420560748,0.9493029150823827,0.9412568306010929,0.9512195121951219,0.9616724738675958,0.8982843137254902,0.8755760368663594
13.0,51.0,0.957471264367816,0.9426559356136821,0.96484375,0.9384800965018094,0.9504563233376793,0.9217506631299734,0.9380733944954128,0.9640787949015064,0.9093198992443325,0.8661417322834646
13.0,101.0,0.9549653579676675,0.9277227722772278,0.9632063074901446,0.9351285189718482,0.9448818897637795,0.9014454664914586,0.9216799091940976,0.9614935822637106,0.9016602809706258,0.8425720620842572
13.0,151.0,0.9525462962962963,0.9195289499509323,0.9642857142857143,0.9229828850855746,0.944,0.8921052631578947,0.9175141242937853,0.9590643274853801,0.8938618925831202,0.8298572996706916
13.0,201.0,0.9500580720092915,0.9142300194931774,0.9610215053763441,0.9157509157509157,0.9369973190348525,0.8732212160413971,0.9090909090909091,0.9543859649122807,0.8927648578811369,0.8199780461031834
13.0,251.0,0.9497663551401869,0.8994252873563219,0.9630642954856361,0.9117647058823529,0.9330601092896175,0.8647594278283485,0.9023569023569024,0.9464493597206054,0.8772378516624041,0.8032608695652174
13.0,301.0,0.9452852153667055,0.8925855513307985,0.9601648351648352,0.9037758830694276,0.9289617486338798,0.8640522875816994,0.9011235955056179,0.9497076023391813,0.8717948717948718,0.8028322440087146
13.0,351.0,0.9439252336448598,0.8867924528301887,0.9559834938101788,0.9001218026796589,0.9257221458046767,0.857516339869281,0.9011235955056179,0.9483568075117371,0.87001287001287,0.7935135135135135
13.0,401.0,0.9426900584795321,0.8760484622553588,0.9544198895027625,0.8989037758830695,0.9278779472954231,0.8539765319426337,0.8980963045912654,0.9504716981132075,0.8714285714285714,0.7898706896551724
